RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP
104,Keenan Allen (CHI),WR35,36,36,0,76,-28
105,Younghoe Koo (ATL),K1,36,18,18,133,+ 28
106,Dallas Goedert (PHI),TE11,34,34,0,108,+ 2
107,Brock Bowers (LV),TE12,34,34,0,95,-12
108,Diontae Johnson (CAR),WR36,32,32,0,84,-24
109,Jayden Reed (GB),WR37,27,27,0,81,-28
110,Justin Tucker (BAL),K2,24,12,12,104,-6
111,Dalton Schultz (HOU),TE13,21,21,0,121,+ 10
112,Jordan Love (GB),QB10,21,17,4,70,-42
113,Harrison Butker (KC),K3,20,10,10,113,-
114,Brandon Aubrey (DAL),K4,20,10,10,107,-7
115,Dallas Cowboys (DAL),DST1,20,10,10,124,+ 9
116,Jaxon Smith-Njigba (SEA),WR38,19,19,0,100,-16
117,Brock Purdy (SF),QB11,19,16,3,91,-26
118,Greg Joseph (GB),K5,18,9,9,323,+ 205
119,DeAndre Hopkins (TEN),WR39,18,18,0,98,-21
120,Baltimore Ravens (BAL),DST2,16,8,8,125,+ 5
121,Jordan Addison (MIN),WR40,16,16,0,109,-12
122,Courtland Sutton (DEN),WR41,15,15,0,116,-6
123,Xavier Worthy (KC),WR42,14,14,0,88,-35
124,Pat Freiermuth (PIT),TE14,14,14,0,132,+ 8
125,Bucky Irving (TB),RB51,14,14,0,202,+ 77
126,Jake Elliott (PHI),K6,14,7,7,143,+ 17
127,Rome Odunze (CHI),WR43,13,13,0,94,-33
128,Jayden Daniels (WAS),QB12,13,13,0,99,-29
129,Ladd McConkey (LAC),WR44,12,12,0,101,-28
130,Ray Davis (BUF),RB52,12,12,0,207,+ 77
131,New York Jets (NYJ),DST3,12,6,6,126,-5
132,Brian Thomas Jr. (JAC),WR45,12,12,0,119,-13
133,Christian Watson (GB),WR46,12,12,0,97,-36
134,Alexander Mattison (LV),RB53,10,10,0,244,+ 110
135,T.J. Hockenson (MIN),TE15,10,10,0,122,-13
136,Jason Myers (SEA),K7,10,5,5,184,+ 48
137,Jamaal Williams (NO),RB54,9,9,0,263,+ 126
138,Caleb Williams (CHI),QB13,9,9,0,105,-33
139,Trevor Lawrence (JAC),QB14,9,9,0,127,-12
140,MarShawn Lloyd (GB),RB55,8,8,0,174,+ 34
141,Jerry Jeudy (CLE),WR47,7,7,0,141,-
142,Houston Texans (HOU),DST4,6,3,3,177,+ 35
143,Clyde Edwards-Helaire (KC),RB56,6,6,0,209,+ 66
144,Kansas City Chiefs (KC),DST5,6,3,3,155,+ 11
145,Ka'imi Fairbairn (HOU),K8,6,3,3,145,-
146,Philadelphia Eagles (PHI),DST6,6,3,3,172,+ 26
147,Tyler Lockett (SEA),WR48,6,6,0,136,-11
148,Pittsburgh Steelers (PIT),DST7,4,2,2,153,+ 5
149,Tyrone Tracy Jr. (NYG),RB57,4,4,0,211,+ 62
150,Braelon Allen (NYJ),RB58,4,4,0,201,+ 51
151,Cameron Dicker (LAC),K9,4,2,2,167,+ 16
152,Marquise Brown (KC),WR49,3,3,0,103,-49
153,Joshua Palmer (LAC),WR50,3,3,0,150,-3
154,Cleveland Browns (CLE),DST8,2,1,1,128,-26
155,San Francisco 49ers (SF),DST9,2,1,1,111,-44
156,Tyler Conklin (NYJ),TE16,2,2,0,180,+ 24
157,Curtis Samuel (BUF),WR51,2,2,0,137,-20
158,Jakobi Meyers (LV),WR52,2,2,0,144,-14
159,Justin Herbert (LAC),QB15,2,2,0,131,-28
160,Blake Grupe (NO),K10,2,1,1,240,+ 80
161,Greg Zuerlein (NYJ),K11,2,1,1,197,+ 36
162,Deshaun Watson (CLE),QB16,1,1,0,157,-5
163,Jameson Williams (DET),WR53,0,0,0,118,-45
164,Khalil Shakir (BUF),WR54,0,0,0,129,-35
165,Jared Goff (DET),QB17,0,0,0,114,-51
166,Cole Kmet (CHI),TE17,0,0,0,135,-31
167,Tyler Bass (BUF),K12,0,0,0,173,+ 6
168,Evan McPherson (CIN),K13,0,0,0,149,-19
169,Adam Thielen (CAR),WR55,0,0,0,156,-13
170,Miami Dolphins (MIA),DST10,0,0,0,161,-9
171,Indianapolis Colts (IND),DST11,0,0,0,216,+ 45
172,Buffalo Bills (BUF),DST12,0,0,0,159,-13
173,Miles Sanders (CAR),RB59,0,0,0,296,+ 123
174,Cincinnati Bengals (CIN),DST13,0,0,0,196,+ 22
175,Hunter Henry (NE),TE18,0,0,0,198,+ 23
176,Cairo Santos (CHI),K14,0,0,0,206,+ 30
177,Jake Moody (SF),K15,0,0,0,151,-26
178,Matt Gay (IND),K16,0,0,0,199,+ 21
179,Kendre Miller (NO),RB60,0,0,0,190,+ 11
180,Jason Sanders (MIA),K17,0,0,0,179,-1
181,Los Angeles Chargers (LAC),DST14,0,0,0,192,+ 11
182,Brandin Cooks (DAL),WR56,0,0,0,160,-22
