RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Position,PositionTier
343,Marvin Mims Jr. (DEN),WR83,0,0,0,246.0,-97,WR,
348,Jermaine Burton (CIN),WR84,0,0,0,230.0,-118,WR,
353,Josh Reynolds (DEN),WR85,0,0,0,346.0,-7,WR,
354,Jalen Tolbert (DAL),WR86,0,0,0,262.0,-92,WR,
358,Roman Wilson (PIT),WR87,0,0,0,231.0,-127,WR,
359,Luke McCaffrey (WAS),WR88,0,0,0,253.0,-106,WR,
371,Greg Dortch (ARI),WR89,0,0,0,300.0,-71,WR,
377,Tre Tucker (LV),WR90,0,0,0,318.0,-59,WR,
386,Elijah Moore (CLE),WR91,0,0,0,327.0,-59,WR,
395,Andrei Iosivas (CIN),WR92,0,0,0,329.0,-66,WR,
396,Malachi Corley (NYJ),WR93,0,0,0,279.0,-117,WR,
402,Ray-Ray McCloud III (ATL),WR94,0,0,0,541.0,+ 139,WR,
404,Dyami Brown (WAS),WR95,0,0,0,308.0,-96,WR,
406,Jonathan Mingo (CAR),WR96,0,0,0,375.0,-31,WR,
408,Jahan Dotson (PHI),WR97,0,0,0,223.0,-185,WR,
419,Olamide Zaccheaus (WAS),WR98,0,0,0,658.0,+ 239,WR,
420,Trey Palmer (TB),WR99,0,0,0,508.0,+ 88,WR,
422,Cedrick Wilson Jr. (NO),WR100,0,0,0,649.0,+ 227,WR,
423,Treylon Burks (TEN),WR101,0,0,0,481.0,+ 58,WR,
431,Parker Washington (JAC),WR102,0,0,0,557.0,+ 126,WR,
442,Cedric Tillman (CLE),WR103,0,0,0,681.0,+ 239,WR,
444,JuJu Smith-Schuster (KC),WR104,0,0,0,307.0,-137,WR,
446,Alec Pierce (IND),WR105,0,0,0,380.0,-66,WR,
447,Troy Franklin (DEN),WR106,0,0,0,221.0,-226,WR,
449,Calvin Austin III (PIT),WR107,0,0,0,459.0,+ 10,WR,
455,Kalif Raymond (DET),WR108,0,0,0,447.0,-8,WR,
457,Devontez Walker (BAL),WR109,0,0,0,289.0,-168,WR,
461,KaVontae Turpin (DAL),WR110,0,0,0,461.0,-,WR,
462,A.T. Perry (NO),WR111,0,0,0,325.0,-137,WR,
464,Nelson Agholor (BAL),WR112,0,0,0,468.0,+ 4,WR,
466,Jalen Nailor (MIN),WR113,0,0,0,498.0,+ 32,WR,
470,Van Jefferson (PIT),WR114,0,0,0,435.0,-35,WR,
472,Zay Jones (ARI),WR115,0,0,0,330.0,-142,WR,
485,Jauan Jennings (SF),WR116,0,0,0,305.0,-180,WR,
490,Xavier Gipson (NYJ),WR117,0,0,0,613.0,+ 123,WR,
491,Allen Lazard (NYJ),WR118,0,0,0,324.0,-167,WR,
494,Javon Baker (NE),WR119,0,0,0,299.0,-195,WR,
495,Noah Brown (FA),WR120,0,0,0,376.0,-119,WR,
498,K.J. Osborn (NE),WR121,0,0,0,311.0,-187,WR,
500,Tutu Atwell (LAR),WR122,0,0,0,493.0,-7,WR,
503,Trenton Irwin (CIN),WR123,0,0,0,414.0,-89,WR,
504,KhaDarel Hodge (ATL),WR124,0,0,0,714.0,+ 210,WR,
506,Phillip Dorsett II (FA),WR125,0,0,0,695.0,+ 189,WR,
518,Alex Erickson (FA),WR126,0,0,0,,,WR,
521,Jake Bobo (SEA),WR127,0,0,0,322.0,-199,WR,
522,Justin Watson (KC),WR128,0,0,0,301.0,-221,WR,
523,Mack Hollins (BUF),WR129,0,0,0,516.0,-7,WR,
524,Quez Watkins (FA),WR130,0,0,0,579.0,+ 55,WR,
525,Rakim Jarrett (TB),WR131,0,0,0,687.0,+ 162,WR,
526,Isaiah Hodgins (FA),WR132,0,0,0,660.0,+ 134,WR,
527,David Bell (CLE),WR133,0,0,0,595.0,+ 68,WR,
528,Brandon Powell (MIN),WR134,0,0,0,384.0,-144,WR,
529,Tyquan Thornton (NE),WR135,0,0,0,558.0,+ 29,WR,
530,Jamison Crowder (WAS),WR136,0,0,0,694.0,+ 164,WR,
531,Bub Means (NO),WR137,0,0,0,961.0,+ 430,WR,
532,Kadarius Toney (FA),WR138,0,0,0,268.0,-264,WR,
533,Cornelius Johnson (LAC),WR139,0,0,0,,,WR,
534,Malik Washington (MIA),WR140,0,0,0,284.0,-250,WR,
535,Ryan Flournoy (DAL),WR141,0,0,0,533.0,-2,WR,
536,Jamari Thrash (CLE),WR142,0,0,0,688.0,+ 152,WR,
537,Ainias Smith (PHI),WR143,0,0,0,353.0,-184,WR,
538,Jacob Cowing (SF),WR144,0,0,0,601.0,+ 63,WR,
539,Mason Tipton (NO),WR145,0,0,0,,,WR,
540,Tahj Washington (MIA),WR146,0,0,0,960.0,+ 420,WR,
541,Donovan Peoples-Jones (FA),WR147,0,0,0,321.0,-220,WR,
542,Jordan Whittington (LAR),WR148,0,0,0,333.0,-209,WR,
543,Allen Robinson II (FA),WR149,0,0,0,510.0,-33,WR,
544,Marquez Valdes-Scantling (BUF),WR150,0,0,0,528.0,-16,WR,
545,Marcus Rosemy-Jacksaint (WAS),WR151,0,0,0,,,WR,
546,Brandon Johnson (FA),WR152,0,0,0,676.0,+ 130,WR,
547,Johnny Wilson (PHI),WR153,0,0,0,404.0,-143,WR,
548,Tejhaun Palmer (FA),WR154,0,0,0,,,WR,
549,Casey Washington (ATL),WR155,0,0,0,955.0,+ 406,WR,
550,Nikko Remigio (FA),WR156,0,0,0,836.0,+ 286,WR,
551,Russell Gage (FA),WR157,0,0,0,572.0,+ 21,WR,
552,John Metchie III (HOU),WR158,0,0,0,370.0,-182,WR,
553,Devaughn Vele (DEN),WR159,0,0,0,500.0,-53,WR,
554,KJ Hamler (FA),WR160,0,0,0,589.0,+ 35,WR,
555,Jalen Brooks (DAL),WR161,0,0,0,466.0,-89,WR,
556,Tyler Scott (CHI),WR162,0,0,0,362.0,-194,WR,
557,Ben Skowronek (FA),WR163,0,0,0,770.0,+ 213,WR,
558,Robert Woods (HOU),WR164,0,0,0,418.0,-140,WR,
559,Julio Jones (FA),WR165,0,0,0,378.0,-181,WR,
560,Trent Sherfield Sr. (MIN),WR166,0,0,0,652.0,+ 92,WR,
561,Isaiah McKenzie (NYG),WR167,0,0,0,638.0,+ 77,WR,
562,Justyn Ross (FA),WR168,0,0,0,497.0,-65,WR,
563,Brenden Rice (LAC),WR169,0,0,0,278.0,-285,WR,
564,Deven Thompkins (FA),WR170,0,0,0,818.0,+ 254,WR,
565,Skyy Moore (KC),WR171,0,0,0,317.0,-248,WR,
566,D.J. Montgomery (FA),WR172,0,0,0,363.0,-203,WR,
567,Derius Davis (LAC),WR173,0,0,0,460.0,-107,WR,
568,Mecole Hardman Jr. (KC),WR174,0,0,0,339.0,-229,WR,
