RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Position,PositionTier
458,Drew Ogletree (IND),TE86,0,0,0,609.0,+ 151,TE,
459,Stone Smartt (LAC),TE87,0,0,0,921.0,+ 462,TE,
460,Irv Smith Jr. (FA),TE88,0,0,0,434.0,-26,TE,
463,Jared Wiley (KC),TE89,0,0,0,383.0,-80,TE,
465,Drew Sample (CIN),TE90,0,0,0,482.0,+ 17,TE,
467,Teagan Quitoriano (FA),TE91,0,0,0,,,TE,
468,Payne Durham (TB),TE92,0,0,0,831.0,+ 363,TE,
469,Dallin Holker (NO),TE93,0,0,0,,,TE,
471,Quintin Morris (BUF),TE94,0,0,0,775.0,+ 304,TE,
473,MyCole Pruitt (PIT),TE95,0,0,0,419.0,-54,TE,
474,James Mitchell (FA),TE96,0,0,0,624.0,+ 150,TE,
475,Ben Sims (GB),TE97,0,0,0,940.0,+ 465,TE,
476,Eric Saubert (SF),TE98,0,0,0,564.0,+ 88,TE,
477,Harrison Bryant (LV),TE99,0,0,0,661.0,+ 184,TE,
478,Armani Rogers (PHI),TE100,0,0,0,415.0,-63,TE,
479,Ross Dwelley (ATL),TE101,0,0,0,,,TE,
480,Grant Calcaterra (PHI),TE102,0,0,0,477.0,-3,TE,
481,Luke Farrell (JAC),TE103,0,0,0,767.0,+ 286,TE,
482,John Bates (WAS),TE104,0,0,0,667.0,+ 185,TE,
483,Nick Vannett (TEN),TE105,0,0,0,863.0,+ 380,TE,
484,Cole Turner (WAS),TE106,0,0,0,,,TE,
486,Charlie Woerner (ATL),TE107,0,0,0,640.0,+ 154,TE,
487,Albert Okwuegbunam Jr. (PHI),TE108,0,0,0,473.0,-14,TE,
488,Cole Fotheringham (LV),TE109,0,0,0,917.0,+ 429,TE,
489,Charlie Kolar (BAL),TE110,0,0,0,639.0,+ 150,TE,
492,Ko Kieft (TB),TE111,0,0,0,,,TE,
493,Hunter Long (LAR),TE112,0,0,0,617.0,+ 124,TE,
496,C.J. Uzomah (FA),TE113,0,0,0,576.0,+ 80,TE,
497,Josiah Deguara (FA),TE114,0,0,0,741.0,+ 244,TE,
499,Anthony Firkser (FA),TE115,0,0,0,703.0,+ 204,TE,
501,Kenny Yeboah (NYJ),TE116,0,0,0,665.0,+ 164,TE,
502,Miller Forristall (LAR),TE117,0,0,0,916.0,+ 414,TE,
505,Mitchell Wilcox (FA),TE118,0,0,0,885.0,+ 380,TE,
507,Brady Russell (SEA),TE119,0,0,0,835.0,+ 328,TE,
508,Julian Hill (MIA),TE120,0,0,0,426.0,-82,TE,
509,Tre' McKitty (FA),TE121,0,0,0,608.0,+ 99,TE,
510,Tommy Hudson (NO),TE122,0,0,0,894.0,+ 384,TE,
511,Tyler Davis (GB),TE123,0,0,0,742.0,+ 231,TE,
512,Shane Zylstra (FA),TE124,0,0,0,495.0,-17,TE,
513,Zack Kuntz (FA),TE125,0,0,0,828.0,+ 315,TE,
514,Eric Tomlinson (FA),TE126,0,0,0,438.0,-76,TE,
515,Dalton Keene (HOU),TE127,0,0,0,888.0,+ 373,TE,
516,Rodney Williams (FA),TE128,0,0,0,820.0,+ 304,TE,
517,Zach Gentry (LV),TE129,0,0,0,721.0,+ 204,TE,
519,Chris Manhertz (NYG),TE130,0,0,0,696.0,+ 177,TE,
520,Nate Adkins (DEN),TE131,0,0,0,840.0,+ 320,TE,
