RANK,PLAYER,POS,VBD,VORP,VOLS,ADP,VS ADP,Position,PositionTier
272,Isaiah Davis (NYJ),RB80,0,0,0,860.0,+ 588,RB,
273,Dylan Laube (LV),RB81,0,0,0,354.0,+ 81,RB,
274,Jordan Mason (SF),RB82,0,0,0,288.0,+ 14,RB,
275,Cordarrelle Patterson (PIT),RB83,0,0,0,290.0,+ 15,RB,
278,Kyle Juszczyk (SF),RB84,0,0,0,292.0,+ 14,RB,
280,Royce Freeman (FA),RB85,0,0,0,644.0,+ 364,RB,
282,Evan Hull (FA),RB86,0,0,0,924.0,+ 642,RB,
283,Isaac Guerendo (SF),RB87,0,0,0,337.0,+ 54,RB,
286,Deuce Vaughn (DAL),RB88,0,0,0,273.0,-13,RB,
287,Jase McClellan (ATL),RB89,0,0,0,619.0,+ 332,RB,
289,Ameer Abdullah (LV),RB90,0,0,0,515.0,+ 226,RB,
290,Kendall Milton (PHI),RB91,0,0,0,,,RB,
292,Deneric Prince (FA),RB92,0,0,0,423.0,+ 131,RB,
294,Michael Carter (FA),RB93,0,0,0,549.0,+ 255,RB,
295,Rasheen Ali (BAL),RB94,0,0,0,361.0,+ 66,RB,
299,Nyheim Hines (CLE),RB95,0,0,0,646.0,+ 347,RB,
300,Cam Akers (HOU),RB96,0,0,0,274.0,-26,RB,
303,DeWayne McBride (FA),RB97,0,0,0,358.0,+ 55,RB,
304,Jawhar Jordan (FA),RB98,0,0,0,858.0,+ 554,RB,
307,Blake Watson (DEN),RB99,0,0,0,794.0,+ 487,RB,
308,Ronnie Rivers (LAR),RB100,0,0,0,679.0,+ 371,RB,
309,D'Ernest Johnson (JAC),RB101,0,0,0,735.0,+ 426,RB,
311,Kevin Harris (FA),RB102,0,0,0,386.0,+ 75,RB,
312,Jeremy McNichols (WAS),RB103,0,0,0,865.0,+ 553,RB,
313,Craig Reynolds (DET),RB104,0,0,0,492.0,+ 179,RB,
314,Isaiah Spiller (FA),RB105,0,0,0,797.0,+ 483,RB,
315,Dillon Johnson (FA),RB106,0,0,0,,,RB,
316,Hunter Luepke (DAL),RB107,0,0,0,641.0,+ 325,RB,
318,Dare Ogunbowale (HOU),RB108,0,0,0,539.0,+ 221,RB,
319,Pierre Strong Jr. (CLE),RB109,0,0,0,577.0,+ 258,RB,
320,Austin Jones (WAS),RB110,0,0,0,811.0,+ 491,RB,
322,Trayveon Williams (CIN),RB111,0,0,0,586.0,+ 264,RB,
325,Jordan Mims (NO),RB112,0,0,0,837.0,+ 512,RB,
326,Kenny McIntosh (SEA),RB113,0,0,0,562.0,+ 236,RB,
329,Tyler Goodson (IND),RB114,0,0,0,671.0,+ 342,RB,
330,Nick Bawden (FA),RB115,0,0,0,,,RB,
331,JaMycal Hasty (NE),RB116,0,0,0,751.0,+ 420,RB,
332,Jeff Wilson Jr. (MIA),RB117,0,0,0,444.0,+ 112,RB,
333,Emanuel Wilson (GB),RB118,0,0,0,567.0,+ 234,RB,
336,Matt Breida (FA),RB119,0,0,0,566.0,+ 230,RB,
338,Julius Chestnut (TEN),RB120,0,0,0,809.0,+ 471,RB,
340,Jaret Patterson (LAC),RB121,0,0,0,780.0,+ 440,RB,
341,Emani Bailey (FA),RB122,0,0,0,781.0,+ 440,RB,
344,Salvon Ahmed (FA),RB123,0,0,0,662.0,+ 318,RB,
346,Joshua Kelley (FA),RB124,0,0,0,893.0,+ 547,RB,
347,Carlos Washington Jr. (FA),RB125,0,0,0,932.0,+ 585,RB,
349,Alec Ingold (MIA),RB126,0,0,0,491.0,+ 142,RB,
350,Boston Scott (FA),RB127,0,0,0,527.0,+ 177,RB,
351,Israel Abanikanda (NYJ),RB128,0,0,0,463.0,+ 112,RB,
352,Cody Schrader (SF),RB129,0,0,0,805.0,+ 453,RB,
355,Sean Tucker (TB),RB130,0,0,0,614.0,+ 259,RB,
356,Dante Miller (NYG),RB131,0,0,0,611.0,+ 255,RB,
357,Raheem Blackshear (CAR),RB132,0,0,0,555.0,+ 198,RB,
360,Myles Gaskin (FA),RB133,0,0,0,596.0,+ 236,RB,
362,DeeJay Dallas (ARI),RB134,0,0,0,587.0,+ 225,RB,
363,Chris Brooks (FA),RB135,0,0,0,616.0,+ 253,RB,
364,La'Mical Perine (FA),RB136,0,0,0,749.0,+ 385,RB,
365,Michael Burton (FA),RB137,0,0,0,565.0,+ 200,RB,
366,Reggie Gilliam (BUF),RB138,0,0,0,663.0,+ 297,RB,
367,Kene Nwangwu (FA),RB139,0,0,0,472.0,+ 105,RB,
368,Avery Williams (ATL),RB140,0,0,0,899.0,+ 531,RB,
369,Darrynton Evans (BUF),RB141,0,0,0,627.0,+ 258,RB,
370,Travis Homer (CHI),RB142,0,0,0,543.0,+ 173,RB,
373,Adam Prentice (NO),RB143,0,0,0,776.0,+ 403,RB,
374,Sione Vaki (DET),RB144,0,0,0,483.0,+ 109,RB,
375,Malik Davis (FA),RB145,0,0,0,552.0,+ 177,RB,
376,Keaontay Ingram (FA),RB146,0,0,0,379.0,+ 3,RB,
378,Keilan Robinson (JAC),RB147,0,0,0,859.0,+ 481,RB,
379,Jake Funk (FA),RB148,0,0,0,484.0,+ 105,RB,
380,Elijah Dotson (FA),RB149,0,0,0,851.0,+ 471,RB,
381,Snoop Conner (FA),RB150,0,0,0,560.0,+ 179,RB,
382,J.J. Taylor (FA),RB151,0,0,0,314.0,-68,RB,
383,Jermar Jefferson (FA),RB152,0,0,0,326.0,-57,RB,
384,Patrick Ricard (BAL),RB153,0,0,0,488.0,+ 104,RB,
385,Zonovan Knight (FA),RB154,0,0,0,,,RB,
387,Hassan Haskins (FA),RB155,0,0,0,,,RB,
388,Zach Evans (LAR),RB156,0,0,0,602.0,+ 214,RB,
389,Spencer Brown (FA),RB157,0,0,0,758.0,+ 369,RB,
390,Khari Blasingame (FA),RB158,0,0,0,,,RB,
391,Patrick Taylor Jr. (SF),RB159,0,0,0,573.0,+ 182,RB,
392,John Kelly Jr. (BAL),RB160,0,0,0,867.0,+ 475,RB,
393,C.J. Ham (MIN),RB161,0,0,0,451.0,+ 58,RB,
394,Jashaun Corbin (FA),RB162,0,0,0,440.0,+ 46,RB,
397,Mike Boone (FA),RB163,0,0,0,712.0,+ 315,RB,
398,Tyrion Davis-Price (PHI),RB164,0,0,0,637.0,+ 239,RB,
399,Brandon Bolden (FA),RB165,0,0,0,642.0,+ 243,RB,
