PLAYER NAME,TEAM,STRD RK,PPR .5 RK,PPR Full Point RK,Super Flex Full PPR RK,STRD TIERS,Rookie,AGE,Cuff,Oline Pass Blk,Oline Run Blk,OLine Total,STRD POS RK,POS,BYE,Team Depth Chart,1st 5 games SoS by position,Full SoS by position,Playoff SoS by position,Boom Factor,QB WR/TE Boom,Prop Bet TDS,Prop Bet Pass Yds,Prop Bet Rush Yds,Prop Bet Rec Yds
Davis Allen,LAR,387,404,385,344,14,,23,,GOOD,GOOD,GREAT,TE52,TE,6,-,easy,average,easy, ,,-,,,-
Blake Watson,DEN,400,406,396,345,14,rookie,24,,GREAT,GOOD,GOOD,RB111,RB,14,-,easy,easy,average, ,,-,,-,
Jaheim Bell,NE,403,407,397,347,14,rookie,23,,BAD,OK,BAD,TE57,TE,14,-,easy,average,average, ,,-,,,-
Trayveon Williams,CIN,401,419,402,352,14,,-,,GOOD,GOOD,GREAT,RB112,RB,12,-,hard,average,easy, ,,-,,-,
Dyami Brown,WAS,409,417,403,354,14,,24,,OK,GOOD,OK,WR142,WR,14,WR6,easy,average,easy, ,,-,,,-
Jase McClellan,ATL,414,413,416,355,14,rookie,22,,OK,ELITE,ELITE,RB115,RB,12,-,average,easy,easy, ,,-,,-,
Sean Tucker,TB,417,420,413,356,14,,22,,GOOD,BAD,GOOD,RB116,RB,11,-,hard,easy,easy, ,,-,,-,
Latavius Murray,FA,407,424,407,360,14,,34,,-,-,-,RB114,RB,-,-,-,-,-,-,,-,,-,
Josh Whyle,TEN,419,425,409,361,14,,-,,BAD,BAD,BAD,TE58,TE,5,-,average,easy,easy, ,,-,,,-
Jarrett Stidham,DEN,358,369,358,369,14,,28,,GREAT,GOOD,GOOD,QB40,QB,14,-,average,hard,easy, ,,-,-,-,
Kenny Pickett,PHI,377,408,375,384,14,,26,,ELITE,ELITE,ELITE,QB42,QB,5,-,easy,hard,average,BOOM,BOOM,-,-,-,
Drew Lock,NYG,352,363,351,451,14,,27,,OK,OK,BAD,QB39,QB,11,-,average,hard,easy, ,,-,-,-,
Joe Flacco,IND,346,359,345,454,14,,39,,GREAT,GREAT,GREAT,QB38,QB,14,-,average,easy,average, ,,-,-,-,
Jameis Winston,CLE,363,374,361,457,14,,30,,ELITE,GREAT,ELITE,QB41,QB,10,-,hard,easy,average, ,,-,-,-,
Tampa Bay Buccaneers,TB,344,335,352,#N/A,14,,-,,GOOD,BAD,GOOD,DST23,DST,11,-,average,easy,easy,,,-,,,
Jake Bates,DET,349,368,354,#N/A,14,,-,,ELITE,ELITE,ELITE,K19,K,5,-,average,hard,easy,,,-,,,
Wil Lutz,DEN,360,350,363,#N/A,14,,30,,GREAT,GOOD,GOOD,K20,K,14,-,average,hard,average,,,-,,,
Seattle Seahawks,SEA,369,349,379,#N/A,14,,-,,BAD,OK,OK,DST24,DST,10,-,easy,easy,average,,,-,,,
New York Giants,NYG,376,367,383,#N/A,14,,-,,OK,OK,BAD,DST25,DST,11,-,hard,average,average,,,-,,,
Los Angeles Rams,LAR,381,353,392,#N/A,14,,-,,GOOD,GOOD,GREAT,DST26,DST,6,-,hard,hard,easy,,,-,,,
Atlanta Falcons,ATL,382,366,405,#N/A,14,,-,,OK,ELITE,ELITE,DST27,DST,12,-,hard,easy,average,,,-,,,
Jake Browning,CIN,385,403,384,#N/A,14,,28,,GOOD,GOOD,GREAT,QB43,QB,12,-,hard,hard,easy, ,,-,-,-,
Chris Boswell,PIT,390,351,395,#N/A,14,,33,,BAD,OK,OK,K21,K,9,-,hard,easy,easy,,,-,,,
Los Angeles Chargers,LAC,391,373,404,#N/A,14,,-,,GREAT,OK,GOOD,DST28,DST,5,-,easy,easy,easy,,,-,,,
Greg Joseph,GB,399,382,418,#N/A,14,,30,,ELITE,OK,GREAT,K22,K,10,-,average,easy,easy,,,-,,,
Brandon McManus,FA,404,396,401,#N/A,14,,33,,-,-,-,K23,K,-,-,-,-,-,,,-,,,
Anders Carlson,GB,406,411,429,#N/A,14,,-,,ELITE,OK,GREAT,K24,K,10,-,average,easy,easy,,,-,,,
Eddy Pineiro,CAR,410,410,434,#N/A,14,,28,,GREAT,GOOD,GOOD,K25,K,11,-,easy,average,average,,,-,,,
Washington Commanders,WAS,411,434,415,#N/A,14,,-,,OK,GOOD,OK,DST29,DST,14,-,average,easy,average,,,-,,,
Chase McLaughlin,TB,412,385,421,#N/A,14,,28,,GOOD,BAD,GOOD,K26,K,11,-,hard,average,easy,,,-,,,
Graham Gano,NYG,413,429,419,#N/A,14,,37,,OK,OK,BAD,K27,K,11,-,hard,hard,easy,,,-,,,
Carolina Panthers,CAR,415,380,437,#N/A,14,,-,,GREAT,GOOD,GOOD,DST30,DST,11,-,hard,easy,easy,,,-,,,
Matt Prater,ARI,416,390,423,#N/A,14,,40,,OK,OK,BAD,K28,K,11,-,average,hard,easy,,,-,,,
Darnell Washington,PIT,424,405,410,346,15,,22,,BAD,OK,OK,TE59,TE,9,-,hard,average,easy, ,,-,,,-
Kyle Juszczyk,SF,425,409,400,348,15,,-,,OK,GREAT,OK,RB119,RB,9,-,average,hard,easy, ,,-,,-,
Xavier Hutchinson,HOU,420,412,411,349,15,,24,,GOOD,OK,OK,WR143,WR,14,WR7,hard,average,average, ,,-,,,-
Nick Westbrook-Ikhine,TEN,435,415,439,350,15,,27,,BAD,BAD,BAD,WR146,WR,5,WR5,hard,easy,average, ,,-,,,-
Foster Moreau,NO,431,414,422,353,15,,27,,BAD,OK,BAD,TE61,TE,12,-,hard,easy,easy, ,,-,,,-
Kenny McIntosh,SEA,421,421,408,357,15,,24,,BAD,OK,OK,RB117,RB,10,-,hard,easy,average, ,,-,,-,
Jake Bobo,SEA,433,416,425,358,15,,26,,BAD,OK,OK,WR144,WR,10,WR4,easy,average,easy, ,,-,,,-
Adam Trautman,DEN,428,418,420,359,15,,27,,GREAT,GOOD,GOOD,TE60,TE,14,-,average,hard,easy, ,,-,,,-
Jamari Thrash,CLE,474,426,470,362,15,rookie,23,,ELITE,GREAT,ELITE,WR164,WR,10,WR5,average,average,easy, ,,-,,,-
Lucas Krull,DEN,441,427,447,364,15,,26,,GREAT,GOOD,GOOD,TE62,TE,14,-,average,hard,easy, ,,-,,,-
Luke Schoonmaker,DAL,442,432,453,365,15,,25,,GOOD,GREAT,GOOD,TE63,TE,7,-,hard,hard,average, ,,-,,,-
Cole Turner,WAS,443,433,430,366,15,,24,,OK,GOOD,OK,TE64,TE,14,-,easy,hard,average, ,,-,,,-
Malik Davis,DAL,422,431,427,367,15,,25,,GOOD,GREAT,GOOD,RB118,RB,7,-,easy,average,easy,BOOM,,-,,-,
Jared Wiley,KC,465,437,459,368,15,rookie,23,,ELITE,GREAT,ELITE,TE67,TE,6,-,average,average,easy, ,,-,,,-
Chris Moore,ARI,445,441,441,370,15,,-,,OK,OK,BAD,WR151,WR,11,WR5,easy,average,easy, ,,-,,,-
Ryan Flournoy,DAL,440,440,433,371,15,rookie,24,,GOOD,GREAT,GOOD,WR149,WR,7,WR5,hard,average,easy, ,,-,,,-
Tyquan Thornton,NE,439,442,438,372,15,,24,,BAD,OK,BAD,WR148,WR (3rd Yr),14,WR6,hard,average,easy, ,,-,,,-
Frank Gore Jr.,BUF,438,445,481,373,15,rookie,22,,OK,GOOD,GOOD,RB121,RB,12,-,easy,hard,easy, ,,-,,-,
Durham Smythe,MIA,487,446,468,374,15,,29,,OK,GOOD,OK,TE73,TE,6,-,hard,hard,easy, ,,-,,,-
Braxton Berrios,MIA,454,447,440,375,15,,-,,OK,GOOD,OK,WR156,WR,6,WR5,average,hard,easy, ,,-,,,-
Quez Watkins,PIT,444,449,460,376,15,,26,,BAD,OK,OK,WR150,WR,9,WR5,hard,hard,average, ,,-,,,-
Jalen Brooks,DAL,452,448,446,377,15,,-,,GOOD,GREAT,GOOD,WR154,WR,7,WR6,hard,average,easy, ,,-,,,-
Will Mallory,IND,463,450,449,378,15,,25,,GREAT,GREAT,GREAT,TE66,TE,14,-,average,average,easy, ,,-,,,-
Mecole Hardman Jr.,KC,434,439,444,379,15,,26,,ELITE,GREAT,ELITE,WR145,WR,6,WR7,average,average,average, ,,-,,,-
Boston Scott,LAR,457,458,454,381,15,,29,,GOOD,GOOD,GREAT,RB123,RB,6,-,easy,average,average, ,,-,,-,
Charlie Jones,CIN,448,457,436,382,15,,25,,GOOD,GOOD,GREAT,WR152,WR,12,WR6,average,hard,easy, ,,-,,,-
Robert Tonyan,MIN,478,466,482,385,15,,-,,GREAT,ELITE,GREAT,TE70,TE,6,-,average,hard,easy, ,,-,,,-
Tyler Goodson,IND,446,465,450,387,15,,23,,GREAT,GREAT,GREAT,RB122,RB,14,-,hard,hard,easy, ,,-,,-,
Casey Washington,ATL,453,464,445,389,15,rookie,23,,OK,ELITE,ELITE,WR155,WR,12,WR4,average,easy,easy, ,,-,,,-
Jamison Crowder,WAS,449,467,452,390,15,,-,,OK,GOOD,OK,WR153,WR,14,WR4,easy,average,easy,,,-,,,-
Isaiah McKenzie,NYG,455,451,469,391,15,,-,,OK,OK,BAD,WR157,WR,11,WR6,average,average,easy, ,,-,,,-
Kene Nwangwu,MIN,462,454,457,392,15,,-,,GREAT,ELITE,GREAT,RB124,RB,6,-,average,average,easy, ,,-,,-,
Bub Means,NO,468,470,485,394,15,rookie,23,,BAD,OK,BAD,WR161,WR,12,WR5,average,average,easy, ,,-,,,-
Isaiah Hodgins,NYG,472,471,474,395,15,,25,,OK,OK,BAD,WR162,WR,11,WR5,average,average,easy, ,,-,,,-
DeeJay Dallas,ARI,484,472,471,396,15,,25,,OK,OK,BAD,RB129,RB,11,-,average,hard,average, ,,-,,-,
David Bell,CLE,473,473,488,398,15,,23,,ELITE,GREAT,ELITE,WR163,WR (3rd Yr),10,WR6,average,average,easy, ,,-,,,-
AJ Barner,SEA,481,477,475,399,15,rookie,22,,BAD,OK,OK,TE71,TE,10,-,hard,average,average, ,,-,,,-
Mac Jones,JAC,427,436,426,400,15,,25,,GREAT,BAD,OK,QB46,QB,12,-,average,easy,easy, ,,-,-,-,
Irv Smith Jr.,KC,469,479,466,403,15,,26,,ELITE,GREAT,ELITE,TE68,TE,6,-,average,average,easy, ,,-,,,-
