PLAYER NAME,TEAM,STRD RK,PPR .5 RK,PPR Full Point RK,Super Flex Full PPR RK,STRD TIERS,Rookie,AGE,Cuff,Oline Pass Blk,Oline Run Blk,OLine Total,STRD POS RK,POS,BYE,Team Depth Chart,1st 5 games SoS by position,Full SoS by position,Playoff SoS by position,Boom Factor,QB WR/TE Boom,Prop Bet TDS,Prop Bet Pass Yds,Prop Bet Rush Yds,Prop Bet Rec Yds
Drake London,ATL,23,19,17,33,4,,23,,OK,ELITE,ELITE,WR14,WR (3rd Yr),12,WR1,average,easy,easy, ,,6.5,,,1000.5
Davante Adams,LV,29,17,16,35,4,,31,,GREAT,GOOD,GOOD,WR16,WR,10,WR1,average,average,easy, ,,6.5,,,1000.5
Travis Etienne Jr.,JAC,26,20,20,36,4,,25,Tank Bigsby,GREAT,BAD,OK,RB9,RB,12,-,average,hard,easy, ,,-,,-,
Chris Olave,NO,24,21,18,37,4,,24,,BAD,OK,BAD,WR15,WR (3rd Yr),12,WR1,average,average,easy, ,,4.5,,,1025.5
Isiah Pacheco,KC,27,23,34,39,4,,25,Clyde Edwards-Helaire,ELITE,GREAT,ELITE,RB10,RB,6,-,average,average,average, ,,6.5,,900.5,
Nico Collins,HOU,22,27,27,43,4,,25,,GOOD,OK,OK,WR13,WR,14,WR1,hard,average,average, ,,5.5,,,1050.5
Brandon Aiyuk,SF,21,26,26,44,4,,26,,OK,GREAT,OK,WR12,WR,9,WR2,average,hard,easy, ,,-,,,-
Jaylen Waddle,MIA,33,28,22,45,4,,25,,OK,GOOD,OK,WR18,WR,6,WR2,average,hard,easy, ,,5.5,,,1000.5
De'Von Achane,MIA,37,29,35,46,4,,22,,OK,GOOD,OK,RB11,RB,6,-,easy,average,average, ,,7.5,,750.5,
Cooper Kupp,LAR,36,32,25,48,4,,31,,GOOD,GOOD,GREAT,WR20,WR,6,WR2,easy,average,easy, ,,6.5,,,1000.5
Sam LaPorta,DET,28,31,28,49,4,,23,,ELITE,ELITE,ELITE,TE1,TE,5,-,average,average,average, ,,7.5,,,875.5
Travis Kelce,KC,34,33,30,50,4,,34,,ELITE,GREAT,ELITE,TE2,TE,6,-,average,average,easy, ,,6.5,,,950.5
DK Metcalf,SEA,30,34,38,51,4,,26,,BAD,OK,OK,WR17,WR,10,WR1,easy,average,easy, ,,6.5,,,1000.5
DJ Moore,CHI,35,35,36,52,4,,27,,OK,ELITE,GOOD,WR19,WR,7,WR1,easy,easy,easy, ,,6.5,,,950.5
Anthony Richardson,IND,48,50,47,5,5,,22,,GREAT,GREAT,GREAT,QB5,QB,14,-,average,easy,average, ,,17.5,4150.5,550.5,
C.J. Stroud,HOU,52,56,52,7,5,,22,,GOOD,OK,OK,QB6,QB,14,-,hard,hard,easy, ,,26.5,3400.5,-,
Michael Pittman Jr.,IND,51,38,21,53,5,,26,,GREAT,GREAT,GREAT,WR27,WR,14,WR1,average,easy,easy, ,,-,,,-
DeVonta Smith,PHI,39,39,37,54,5,,25,,ELITE,ELITE,ELITE,WR22,WR,5,WR2,easy,hard,easy,BOOM,BOOM,6.5,,,1050.5
Malik Nabers,NYG,42,40,40,57,5,rookie,21,,OK,OK,BAD,WR23,WR,11,WR1,average,average,easy, ,,5.5,,,900.5
Josh Jacobs,GB,41,41,46,58,5,,26,AJ Dillon,ELITE,OK,GREAT,RB13,RB,10,-,hard,hard,average, ,,7.5,,950.5,
Amari Cooper,CLE,38,42,41,59,5,,30,,ELITE,GREAT,ELITE,WR21,WR,10,WR1,average,average,easy, ,,5.5,,,-
Rachaad White,TB,50,43,42,60,5,,25,Bucky Irving,GOOD,BAD,GOOD,RB16,RB,11,-,hard,easy,easy, ,,5.5,,825.5,
James Cook,BUF,44,44,45,61,5,,24,Ray Davis,OK,GOOD,GOOD,RB14,RB,12,-,easy,hard,easy, ,,4.5,,925.5,
Joe Mixon,HOU,45,45,51,64,5,,28,Dameon Pierce,GOOD,OK,OK,RB15,RB,14,-,average,average,average, ,,6.5,,850.5,
Kenneth Walker III,SEA,40,46,55,65,5,,23,Zach Charbonnet,BAD,OK,OK,RB12,RB,10,-,hard,easy,average, ,,-,,-,
Mark Andrews,BAL,47,47,59,66,5,,28,,GOOD,OK,OK,TE3,TE,14,-,easy,average,easy, ,,6.5,,,-
Tee Higgins,CIN,43,49,49,68,5,,25,,GOOD,GOOD,GREAT,WR24,WR,12,WR2,average,hard,easy, ,,5.5,,,900.5
George Pickens,PIT,46,52,54,71,5,,23,,BAD,OK,OK,WR25,WR (3rd Yr),9,WR1,hard,hard,average, ,,4.5,,,950.5
Tank Dell,HOU,49,54,58,73,5,,24,,GOOD,OK,OK,WR26,WR,14,WR2,hard,average,average, ,,4.5,,,850.5
Kyler Murray,ARI,54,60,57,8,6,,27,,OK,OK,BAD,QB7,QB,11,-,average,hard,easy, ,,20.5,4000.5,475.5,
Joe Burrow,CIN,57,65,61,11,6,,27,,GOOD,GOOD,GREAT,QB8,QB,12,-,hard,hard,easy, ,,27.5,4150.5,-,
Dak Prescott,DAL,59,67,63,13,6,,31,,GOOD,GREAT,GOOD,QB9,QB,7,-,hard,hard,easy, ,,28.5,3900.5,-,
Jordan Love,GB,67,76,70,17,6,,25,,ELITE,OK,GREAT,QB10,QB,10,-,easy,easy,easy,BOOM,,27.5,3900.5,-,
Stefon Diggs,HOU,55,48,43,69,6,,30,,GOOD,OK,OK,WR28,WR,14,WR3,hard,average,average, ,,5.5,,,1000.5
Alvin Kamara,NO,60,51,44,70,6,,29,Kendre Miller,BAD,OK,BAD,RB19,RB,12,-,average,easy,easy, ,,4.5,,625.5,
Trey McBride,ARI,63,53,48,72,6,,24,,OK,OK,BAD,TE4,TE,11,-,hard,easy,average, ,,4.5,,,-
Zay Flowers,BAL,56,55,50,74,6,,23,,GOOD,OK,OK,WR29,WR,14,WR1,hard,average,average, ,,5.5,,,1000.5
Terry McLaurin,WAS,61,57,56,75,6,,28,,OK,GOOD,OK,WR30,WR,14,WR1,easy,average,easy, ,,4.5,,,950.5
James Conner,ARI,58,58,65,76,6,,29,Trey Benson,OK,OK,BAD,RB18,RB,11,-,average,hard,average, ,,6.5,,-,
Rashee Rice,KC,62,62,60,77,6,,24,,ELITE,GREAT,ELITE,WR31,WR,6,WR1,average,average,average, ,,-,,,-
Christian Kirk,JAC,64,61,53,78,6,,27,,GREAT,BAD,OK,WR32,WR,12,WR1,hard,easy,average, ,,4.5,,,1000.5
David Montgomery,DET,53,59,72,79,6,,27,,ELITE,ELITE,ELITE,RB17,RB,5,-,easy,average,average,BOOM,,8.5,,775.5,
Rhamondre Stevenson,NE,65,63,66,80,6,,26,Antonio Gibson,BAD,OK,BAD,RB20,RB,14,-,hard,hard,easy, ,,4.5,,-,
Aaron Jones,MIN,69,64,67,81,6,,29,Ty Chandler,GREAT,ELITE,GREAT,RB22,RB,6,-,average,average,easy, ,,5.5,,750.5,
Najee Harris,PIT,66,69,73,86,6,,26,Jaylen Warren,BAD,OK,OK,RB21,RB,9,-,hard,easy,easy, ,,5.5,,825.5,
Calvin Ridley,TEN,68,70,71,89,6,,29,,BAD,BAD,BAD,WR33,WR,5,WR1,hard,easy,average, ,,5.5,,,925.5
Raheem Mostert,MIA,71,73,80,90,6,,32,De'Von Achane,OK,GOOD,OK,RB23,RB,6,-,easy,average,average, ,,7.5,,700.5,
Zamir White,LV,72,75,77,92,6,,24,Alexander Mattison,GREAT,GOOD,GOOD,RB24,RB,10,-,easy,average,easy, ,,5.5,,800.5,
George Kittle,SF,70,78,84,94,6,,30,,OK,GREAT,OK,TE5,TE,9,-,hard,easy,easy, ,,5.5,,,775.5
Jayden Daniels,WAS,78,83,75,20,7,rookie,23,,OK,GOOD,OK,QB11,QB,14,-,easy,average,easy, ,,16.5,4100.5,550.5,
Brock Purdy,SF,79,86,76,21,7,,24,,OK,GREAT,OK,QB12,QB,9,-,average,hard,easy, ,,28.5,3150.5,-,
Caleb Williams,CHI,87,96,87,26,7,rookie,22,,OK,ELITE,GOOD,QB14,QB,7,-,easy,easy,average, ,,22.5,3800.5,-,
Tua Tagovailoa,MIA,86,100,88,28,7,,26,,OK,GOOD,OK,QB13,QB,6,-,hard,hard,easy, ,,25.5,4050.5,-,
Jared Goff,DET,90,104,90,29,7,,29,,ELITE,ELITE,ELITE,QB15,QB,5,-,hard,easy,average, ,,26.5,3500.5,-,
Trevor Lawrence,JAC,93,106,95,31,7,,24,,GREAT,BAD,OK,QB16,QB,12,-,average,easy,easy, ,,21.5,-,-,
Dalton Kincaid,BUF,80,66,69,82,7,,24,,OK,GOOD,GOOD,TE7,TE,12,-,average,hard,easy, ,,5.5,,,800.5
Chris Godwin,TB,76,68,62,84,7,,28,,GOOD,BAD,GOOD,WR35,WR,11,WR2,easy,average,easy, ,,4.5,,,900.5
Diontae Johnson,CAR,74,71,68,87,7,,28,,GREAT,GOOD,GOOD,WR34,WR,11,WR1,easy,easy,average,BOOM,BOOM,4.5,,,825.5
Keenan Allen,CHI,81,72,64,88,7,,32,,OK,ELITE,GOOD,WR37,WR,7,WR2,easy,easy,easy, ,,4.5,,,900.5
D'Andre Swift,CHI,73,74,74,91,7,,25,Roschon Johnson,OK,ELITE,GOOD,RB25,RB,7,-,easy,hard,average,BOOM,,5.5,,750.5,
Kyle Pitts,ATL,75,77,81,93,7,,23,,OK,ELITE,ELITE,TE6,TE,12,-,easy,average,average, ,,4.5,,,775.5
Jayden Reed,GB,77,79,79,95,7,,24,,ELITE,OK,GREAT,WR36,WR,10,WR1,hard,easy,average, ,,5.5,,,800.5
Tony Pollard,TEN,82,80,86,96,7,,27,Tyjae Spears,BAD,BAD,BAD,RB26,RB,5,-,average,average,easy, ,,5.5,,775.5,
Brian Robinson Jr.,WAS,83,82,91,97,7,,25,Austin Ekeler,OK,GOOD,OK,RB27,RB,14,-,easy,average,easy,,,-,,-,
Javonte Williams,DEN,88,81,82,98,7,,24,Jaleel McLaughlin,GREAT,GOOD,GOOD,RB28,RB,14,-,easy,easy,average, ,,4,,-,
Xavier Worthy,KC,85,88,92,99,7,rookie,21,,ELITE,GREAT,ELITE,WR39,WR,6,WR3,average,average,average, ,,4.5,,,-
Evan Engram,JAC,94,84,78,100,7,,29,,GREAT,BAD,OK,TE9,TE,12,-,easy,average,easy,BOOM,,4.5,,,750.5
Devin Singletary,NYG,89,85,96,101,7,,26,Tyrone Tracy Jr.,OK,OK,BAD,RB29,RB,11,-,easy,average,easy, ,,4.5,,725.5,
Christian Watson,GB,84,90,104,103,7,,25,,ELITE,OK,GREAT,WR38,WR (3rd Yr),10,WR2,hard,easy,average, ,,5.5,,,775.5
DeAndre Hopkins,TEN,91,89,89,104,7,,32,,BAD,BAD,BAD,WR40,WR,5,WR2,hard,easy,average, ,,-,,,-
Jake Ferguson,DAL,95,92,93,108,7,,25,,GOOD,GREAT,GOOD,TE10,TE,7,-,hard,hard,average, ,,5.5,,,725.5
David Njoku,CLE,92,94,94,110,7,,28,,ELITE,GREAT,ELITE,TE8,TE,10,-,average,average,easy, ,,5.5,,,750.5
Kirk Cousins,ATL,104,118,107,40,8,,35,,OK,ELITE,ELITE,QB17,QB,12,-,easy,average,easy, ,,26.5,3900.5,-,
Justin Herbert,LAC,107,119,108,41,8,,26,,GREAT,OK,GOOD,QB18,QB,5,-,hard,hard,easy, ,,23,3900.5,-,
Matthew Stafford,LAR,110,122,113,47,8,,36,,GOOD,GOOD,GREAT,QB19,QB,6,-,easy,easy,average, ,,23.5,3650.5,-,
Deshaun Watson,CLE,123,136,120,55,8,,28,,ELITE,GREAT,ELITE,QB21,QB,10,-,hard,easy,average, ,,18.5,3650.5,-,
Aaron Rodgers,NYJ,122,135,121,56,8,,40,,OK,ELITE,GREAT,QB20,QB,12,-,hard,hard,average, ,,25.5,3300.5,-,
Jaylen Warren,PIT,99,87,85,102,8,,25,,BAD,OK,OK,RB31,RB,9,-,hard,easy,easy, ,,5,,625.5,
Jaxon Smith-Njigba,SEA,112,91,83,105,8,,22,,BAD,OK,OK,WR46,WR,10,WR2,easy,average,easy, ,,4.5,,,800.5
Tyjae Spears,TEN,108,93,97,107,8,,23,,BAD,BAD,BAD,RB34,RB,5,-,average,average,easy, ,,-,,-,
Rome Odunze,CHI,98,95,99,109,8,rookie,22,,OK,ELITE,GOOD,WR42,WR,7,WR3,easy,easy,easy, ,,4.5,,,650.5
Hollywood Brown,KC,97,98,101,111,8,,27,,ELITE,GREAT,ELITE,WR41,WR,6,WR2,average,average,average, ,,-,,,-
Zack Moss,CIN,96,97,109,112,8,,26,Chase Brown,GOOD,GOOD,GREAT,RB30,RB,12,-,hard,average,easy, ,,5.5,,700.5,
Courtland Sutton,DEN,100,99,98,113,8,,28,,GREAT,GOOD,GOOD,WR43,WR,14,WR1,hard,hard,easy, ,,5.5,,,850.5
Ladd McConkey,LAC,114,102,100,114,8,rookie,22,,GREAT,OK,GOOD,WR47,WR,5,WR1,easy,average,easy,BOOM,BOOM,4.5,,,750.5
Jonathon Brooks,CAR,102,101,115,115,8,rookie,21,Chuba Hubbard,GREAT,GOOD,GOOD,RB33,RB,11,-,hard,easy,easy, ,,-,,-,
Jordan Addison,MIN,106,103,102,116,8,,22,,GREAT,ELITE,GREAT,WR44,WR,6,WR2,easy,average,easy,BOOM,BOOM,-,,,-
Brock Bowers,LV,103,105,103,117,8,rookie,21,,GREAT,GOOD,GOOD,TE11,TE,10,-,easy,easy,easy,BOOM,,4.5,,,650.5
Brian Thomas Jr.,JAC,115,108,110,118,8,rookie,21,,GREAT,BAD,OK,WR48,WR,12,WR2,hard,easy,average, ,,-,,,-
Austin Ekeler,WAS,117,107,106,120,8,,29,,OK,GOOD,OK,RB37,RB,14,-,easy,average,easy,,,-,,-,
Chase Brown,CIN,113,109,112,121,8,,24,,GOOD,GOOD,GREAT,RB36,RB,12,-,hard,average,easy, ,,-,,-,
Gus Edwards,LAC,101,110,122,123,8,,29,J.K. Dobbins,GREAT,OK,GOOD,RB32,RB,5,-,hard,easy,easy, ,,-,,-,
Dallas Goedert,PHI,105,111,105,124,8,,29,,ELITE,ELITE,ELITE,TE12,TE,5,-,hard,easy,easy, ,,3.5,,,650.5
Jameson Williams,DET,109,113,119,125,8,,23,,ELITE,ELITE,ELITE,WR45,WR (3rd Yr),5,WR2,hard,easy,average, ,,4.5,,,725.5
Jerome Ford,CLE,121,112,118,126,8,,24,,ELITE,GREAT,ELITE,RB39,RB,10,-,hard,easy,easy, ,,-,,-,
Ezekiel Elliott,DAL,118,114,123,127,8,,29,Rico Dowdle,GOOD,GREAT,GOOD,RB38,RB,7,-,easy,average,easy,BOOM,,5.5,,600.5,
Nick Chubb,CLE,111,115,125,128,8,,28,Jerome Ford,ELITE,GREAT,ELITE,RB35,RB,10,-,hard,easy,easy, ,,-,,-,
Keon Coleman,BUF,120,117,124,130,8,rookie,21,,OK,GOOD,GOOD,WR49,WR,12,WR2,average,hard,average, ,,4.5,,,725.5
Pat Freiermuth,PIT,116,121,114,132,8,,25,,BAD,OK,OK,TE13,TE,9,-,hard,average,easy, ,,3.5,,,500.5
Dalton Schultz,HOU,119,123,117,133,8,,28,,GOOD,OK,OK,TE14,TE,14,-,easy,hard,easy, ,,3.5,,,575.5
Rashid Shaheed,NO,124,126,133,136,8,,25,,BAD,OK,BAD,WR50,WR (3rd Yr),12,WR2,average,average,easy, ,,4.5,,,725.5
Geno Smith,SEA,126,141,131,62,9,,33,,BAD,OK,OK,QB22,QB,10,-,average,average,easy, ,,20.5,3400.5,-,
Baker Mayfield,TB,130,144,132,63,9,,29,,GOOD,BAD,GOOD,QB23,QB,11,-,easy,hard,easy, ,,22.5,-,-,
Will Levis,TEN,140,154,140,67,9,,25,,BAD,BAD,BAD,QB24,QB,5,-,average,easy,easy, ,,20,3350.5,-,
Derek Carr,NO,158,169,159,83,9,,33,,BAD,OK,BAD,QB26,QB,12,-,hard,easy,easy, ,,21.5,2800.5,-,
Daniel Jones,NYG,156,165,155,85,9,,27,,OK,OK,BAD,QB25,QB,11,-,average,hard,easy, ,,-,3200.5,-,
Tyler Lockett,SEA,127,116,111,129,9,,31,,BAD,OK,OK,WR51,WR,10,WR3,easy,average,easy, ,,4.5,,,825.5
Jakobi Meyers,LV,128,120,116,131,9,,27,,GREAT,GOOD,GOOD,WR52,WR,10,WR2,average,average,easy, ,,-,,,700.5
Joshua Palmer,LAC,132,124,126,134,9,,24,,GREAT,OK,GOOD,WR54,WR,5,WR2,easy,average,easy,BOOM,BOOM,-,,,700.5
Romeo Doubs,GB,129,125,129,135,9,,24,,ELITE,OK,GREAT,WR53,WR (3rd Yr),10,WR3,hard,easy,average, ,,4.5,,,625.5
Curtis Samuel,BUF,137,127,127,137,9,,28,,OK,GOOD,GOOD,WR57,WR,12,WR1,average,hard,average, ,,-,,,-
Blake Corum,LAR,125,128,143,138,9,rookie,23,,GOOD,GOOD,GREAT,RB40,RB,6,-,easy,average,average, ,,-,,-,
Zach Charbonnet,SEA,138,129,130,139,9,,23,,BAD,OK,OK,RB44,RB,10,-,hard,easy,average, ,,-,,-,
Chuba Hubbard,CAR,133,130,135,141,9,,25,,GREAT,GOOD,GOOD,RB42,RB,11,-,hard,easy,easy, ,,-,,-,
Rico Dowdle,DAL,136,132,141,142,9,,26,,GOOD,GREAT,GOOD,RB43,RB,7,-,easy,average,easy,BOOM,,-,,-,
Brandin Cooks,DAL,135,131,134,143,9,,30,,GOOD,GREAT,GOOD,WR56,WR,7,WR2,hard,average,easy, ,,-,,,650.5
Khalil Shakir,BUF,143,133,137,144,9,,24,,OK,GOOD,GOOD,WR58,WR (3rd Yr),12,WR3,average,hard,average, ,,-,,,675.5
Mike Williams,NYJ,134,134,136,145,9,,29,,OK,ELITE,GREAT,WR55,WR,12,WR2,hard,easy,average, ,,4.5,,,750.5
T.J. Hockenson,MIN,139,137,128,146,9,,27,,GREAT,ELITE,GREAT,TE15,TE,6,-,average,hard,easy, ,,-,,,-
Trey Benson,ARI,131,138,146,147,9,rookie,22,,OK,OK,BAD,RB41,RB,11,-,average,hard,average, ,,-,,-,
Jerry Jeudy,CLE,147,139,145,148,9,,25,,ELITE,GREAT,ELITE,WR60,WR,10,WR2,average,average,easy, ,,3.5,,,750.5
Ty Chandler,MIN,142,140,149,149,9,,26,,GREAT,ELITE,GREAT,RB45,RB,6,-,average,average,easy, ,,-,,-,
Jaleel McLaughlin,DEN,151,150,147,150,9,,23,,GREAT,GOOD,GOOD,RB48,RB,14,-,easy,easy,average, ,,-,,-,
Josh Downs,IND,155,143,139,151,9,,23,,GREAT,GREAT,GREAT,WR62,WR,14,WR2,average,easy,easy, ,,-,,,-
Tyler Allgeier,ATL,146,142,151,152,9,,24,,OK,ELITE,ELITE,RB46,RB,12,-,average,easy,easy, ,,-,,-,
Luke Musgrave,GB,145,145,138,153,9,,23,,ELITE,OK,GREAT,TE17,TE,10,-,average,average,average, ,,-,,,-
Cole Kmet,CHI,148,146,144,154,9,,25,,OK,ELITE,GOOD,TE18,TE,7,-,easy,average,average, ,,-,,,575.5
Gabe Davis,JAC,144,148,154,155,9,,25,,GREAT,BAD,OK,WR59,WR,12,WR3,hard,easy,average, ,,-,,,-
Antonio Gibson,NE,152,147,142,156,9,,26,,BAD,OK,BAD,RB49,RB,14,-,hard,hard,easy, ,,-,,-,
J.K. Dobbins,LAC,149,149,150,157,9,,25,,GREAT,OK,GOOD,RB47,RB,5,-,hard,easy,easy, ,,-,,-,
Hunter Henry,NE,150,152,148,158,9,,29,,BAD,OK,BAD,TE19,TE,14,-,easy,average,average, ,,-,,,-
Jahan Dotson,WAS,157,151,152,159,9,,24,,OK,GOOD,OK,WR63,WR (3rd Yr),14,WR2,easy,average,easy, ,,4.5,,,600.5
Dontayvion Wicks,GB,154,153,157,160,9,,23,,ELITE,OK,GREAT,WR61,WR,10,WR4,hard,easy,average, ,,-,,,-
Taysom Hill,NO,141,159,178,165,9,,33,,BAD,OK,BAD,TE16,TE,12,-,hard,easy,easy, ,,-,,,-
MarShawn Lloyd,GB,159,161,165,168,9,rookie,23,,ELITE,OK,GREAT,RB51,RB,10,-,hard,hard,average, ,,-,,-,
Khalil Herbert,CHI,153,164,162,170,9,,26,,OK,ELITE,GOOD,RB50,RB,7,-,easy,hard,average,BOOM,,-,,-,
Bryce Young,CAR,162,180,163,106,10,,23,,GREAT,GOOD,GOOD,QB27,QB,11,-,easy,easy,easy,BOOM,BOOM,17.5,-,-,
Sam Darnold,MIN,178,186,182,119,10,,27,,GREAT,ELITE,GREAT,QB28,QB,6,-,easy,easy,easy,BOOM,BOOM,-,-,-,
Russell Wilson,PIT,201,192,196,122,10,,35,,BAD,OK,OK,QB29,QB,9,-,hard,hard,easy, ,,-,-,-,
Adam Thielen,CAR,170,155,153,161,10,,33,,GREAT,GOOD,GOOD,WR68,WR,11,WR2,easy,easy,average,BOOM,BOOM,-,,,-
Adonai Mitchell,IND,161,156,164,162,10,rookie,21,,GREAT,GREAT,GREAT,WR64,WR,14,WR3,average,easy,easy, ,,-,,,600.5
Ray Davis,BUF,163,157,171,163,10,rookie,24,,OK,GOOD,GOOD,RB52,RB,12,-,easy,hard,easy, ,,-,,-,
DeMario Douglas,NE,168,158,158,164,10,,23,,BAD,OK,BAD,WR67,WR,14,WR2,hard,average,easy, ,,-,,,-
Tyler Conklin,NYJ,165,160,156,166,10,,29,,OK,ELITE,GREAT,TE20,TE,12,-,hard,average,easy, ,,-,,,500.5
Michael Wilson,ARI,166,162,167,167,10,,24,,OK,OK,BAD,WR66,WR,11,WR2,easy,average,easy, ,,-,,,600.5
Darnell Mooney,ATL,164,163,169,169,10,,26,,OK,ELITE,ELITE,WR65,WR,12,WR2,average,easy,easy, ,,-,,,-
Cade Otton,TB,174,168,161,171,10,,25,,GOOD,BAD,GOOD,TE21,TE,11,-,easy,average,average, ,,-,,,-
Rashod Bateman,BAL,176,167,177,172,10,,24,,GOOD,OK,OK,WR70,WR,14,WR2,hard,average,average, ,,-,,,-
Ja'Lynn Polk,NE,171,166,166,173,10,rookie,22,,BAD,OK,BAD,WR69,WR,14,WR1,hard,average,easy, ,,-,,,-
Noah Fant,SEA,189,172,180,174,10,,26,,BAD,OK,OK,TE24,TE,10,-,hard,average,average, ,,-,,,-
Jaylen Wright,MIA,173,170,179,175,10,rookie,21,,OK,GOOD,OK,RB53,RB,6,-,easy,average,average, ,,-,,-,
Wan'Dale Robinson,NYG,193,171,173,176,10,,23,,OK,OK,BAD,WR73,WR (3rd Yr),11,WR2,average,average,easy, ,,-,,,-
Jermaine Burton,CIN,198,175,192,177,10,rookie,23,,GOOD,GOOD,GREAT,WR75,WR,12,WR3,average,hard,easy, ,,-,,,-
Xavier Legette,CAR,182,174,181,178,10,rookie,23,,GREAT,GOOD,GOOD,WR71,WR,11,WR3,easy,easy,average,BOOM,BOOM,4.5,,,500.5
Kendre Miller,NO,175,173,170,179,10,,22,,BAD,OK,BAD,RB54,RB,12,-,average,easy,easy, ,,-,,-,
Demarcus Robinson,LAR,194,176,190,180,10,,29,,GOOD,GOOD,GREAT,WR74,WR,6,WR3,easy,average,easy, ,,-,,,-
Roschon Johnson,CHI,181,178,175,181,10,,23,,OK,ELITE,GOOD,RB56,RB,7,-,easy,hard,average,BOOM,,-,,-,
Braelon Allen,NYJ,179,177,198,182,10,rookie,20,,OK,ELITE,GREAT,RB55,RB,12,-,average,hard,average, ,,-,,-,
Bucky Irving,TB,192,179,193,183,10,rookie,21,,GOOD,BAD,GOOD,RB59,RB,11,-,hard,easy,easy, ,,-,,-,
Marvin Mims Jr.,DEN,184,181,185,184,10,,22,,GREAT,GOOD,GOOD,WR72,WR,14,WR2,hard,hard,easy, ,,-,,,-
Isaiah Likely,BAL,187,189,204,188,10,,24,,GOOD,OK,OK,TE23,TE,14,-,easy,average,easy, ,,-,,,-
Ricky Pearsall,SF,199,183,199,189,10,rookie,23,,OK,GREAT,OK,WR76,WR,9,WR3,average,hard,easy, ,,-,,,-
Dameon Pierce,HOU,191,184,206,190,10,,24,,GOOD,OK,OK,RB58,RB,14,-,average,average,average, ,,-,,-,
Juwan Johnson,NO,180,185,189,191,10,,27,,BAD,OK,BAD,TE22,TE,12,-,hard,easy,easy, ,,4.5,,,425.5
Elijah Mitchell,SF,183,188,210,192,10,,26,,OK,GREAT,OK,RB57,RB,9,-,average,hard,easy, ,,-,,-,
Chigoziem Okonkwo,TEN,200,190,183,193,10,,24,,BAD,BAD,BAD,TE25,TE,5,-,average,easy,easy, ,,2.5,,,500.5
Baltimore Ravens,BAL,160,193,160,#N/A,10,,-,,GOOD,OK,OK,DST1,DST,14,-,average,hard,easy,,,-,,,
San Francisco 49ers,SF,167,197,168,#N/A,10,,-,,OK,GREAT,OK,DST2,DST,9,-,average,hard,easy,,,-,,,
New York Jets,NYJ,169,198,172,#N/A,10,,-,,OK,ELITE,GREAT,DST3,DST,12,-,hard,hard,easy,,,-,,,
Dallas Cowboys,DAL,172,200,174,#N/A,10,,-,,GOOD,GREAT,GOOD,DST4,DST,7,-,easy,easy,easy,,,-,,,
Cleveland Browns,CLE,177,202,176,#N/A,10,,-,,ELITE,GREAT,ELITE,DST5,DST,10,-,hard,hard,easy,,,-,,,
Pittsburgh Steelers,PIT,185,209,184,#N/A,10,,-,,BAD,OK,BAD,DST6,DST,9,-,average,easy,easy,,,-,,,
Kansas City Chiefs,KC,186,211,186,#N/A,10,,-,,ELITE,GREAT,ELITE,DST7,DST,6,-,easy,hard,average,,,-,,,
Justin Tucker,BAL,188,204,187,#N/A,10,,34,,GOOD,OK,OK,K1,K,14,-,average,hard,easy,,,-,,,
Buffalo Bills,BUF,190,212,188,#N/A,10,,-,,OK,GOOD,GOOD,DST8,DST,12,-,easy,hard,average,,,-,,,
Brandon Aubrey,DAL,195,206,191,#N/A,10,,29,,GOOD,GREAT,GOOD,K2,K,7,-,average,hard,easy,,,-,,,
Philadelphia Eagles,PHI,196,219,194,#N/A,10,,-,,ELITE,ELITE,ELITE,DST9,DST,5,-,easy,average,easy,,,-,,,
Harrison Butker,KC,197,213,195,#N/A,10,,29,,ELITE,GREAT,ELITE,K3,K,6,-,average,hard,easy,,,-,,,
Houston Texans,HOU,202,225,200,#N/A,10,,-,,GOOD,OK,OK,DST10,DST,14,-,hard,hard,easy,,,-,,,
New Orleans Saints,NO,203,230,201,#N/A,10,,-,,BAD,OK,BAD,DST11,DST,12,-,average,easy,easy,,,-,,,
Bo Nix,DEN,205,196,203,140,11,rookie,24,,GREAT,GOOD,GOOD,QB30,QB,14,-,average,hard,easy, ,,-,-,-,
Justin Fields,PIT,235,240,235,185,11,,25,,BAD,OK,OK,QB31,QB,9,-,hard,hard,easy, ,,-,-,-,
Ben Sinnott,WAS,213,182,207,186,11,rookie,22,,OK,GOOD,OK,TE26,TE,14,-,easy,hard,average, ,,-,,,-
Javon Baker,NE,217,187,214,187,11,rookie,22,,BAD,OK,BAD,WR79,WR,14,WR3,hard,average,easy, ,,-,,,-
Quentin Johnston,LAC,204,191,197,194,11,,22,,GREAT,OK,GOOD,WR77,WR,5,WR3,easy,average,easy,BOOM,BOOM,3.5,,,650.5
Darius Slayton,NYG,216,195,220,195,11,,27,,OK,OK,BAD,WR78,WR,11,WR3,average,average,easy, ,,-,,,-
Drake Maye,NE,241,246,243,196,11,rookie,21,,BAD,OK,BAD,QB32,QB,14,-,hard,average,easy, ,,-,-,-,
Audric Estime,DEN,219,194,226,197,11,rookie,20,,GREAT,GOOD,GOOD,RB61,RB,14,-,easy,easy,average, ,,-,,-,
Jalin Hyatt,NYG,220,201,217,199,11,,22,,OK,OK,BAD,WR81,WR,11,WR4,average,average,easy, ,,-,,,-
